ASVAB01;ASVAB02;ASVAB03;ASVAB04;ASVAB05;ASVAB06;ASVABC;HEIGHT;WEIGHT85;WEIGHT02;W_EXP;EARNINGS;HOURS;SM;SF;SIBLINGS;LIBRARY;POV78;TENURE;COLLBARG;CATGOV;CATPRI;CATSE;URBAN;REGNE;REGNC;REGW;REGS;idd;FEMALE;MALE;ETHBLACK;ETHHISP;ETHWHITE;AGE;S;EDUCPROF;EDUCPHD;EDUCMAST;EDUCBA;EDUCAA;EDUCHSD;EDUCDO;SINGLE;MARRIED;DIVORCED;FAITHN;FAITHP;FAITHC;FAITHJ;FAITHO
26;36;30;22;25;34;31;68;145;206;17,45769;8,9;39,9;9;10;3;1;0;16,73077;0;1;0;0;0;0;1;0;0;3640;0;1;0;0;1;37;12;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
57;41;48;47;53;60;44,25;69;134;179;21,32308;10,1;34,9;16;13;2;1;;14,01923;0;0;1;0;1;1;0;0;0;277;0;1;0;0;1;42;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
51;49;47;51;39;40;49;69;169;194;23,27308;20,5;48,1;11;8;3;0;0;15,01923;0;0;1;0;1;0;0;1;0;5167;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
57;35;42;38;33;28;37,5;70;167;183;21,02308;10,07;40,1;12;12;10;0;0;3,942308;1;0;1;0;1;0;1;0;0;2578;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
56;50;58;52;42;43;52,5;71;175;221;22,40385;12,4;;11;9;4;1;0;4,673077;0;0;1;0;1;0;0;0;1;2998;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
40;41;43;28;42;42;38,25;76;166;175;15,67692;12,5;50;12;8;2;0;0;14,07692;0;0;1;0;0;1;0;0;0;3055;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
53;38;40;34;31;38;37,5;75;169;209;15,94231;15;39,9;12;7;3;1;0;7,076923;0;0;1;0;1;0;0;1;0;5211;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
57;48;54;51;47;36;50,25;73;241;270;15,35;13,61;54;12;16;1;1;;7,211538;0;0;1;0;1;0;1;0;0;5344;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
53;46;56;63;52;45;52,75;63;141;154;13,80769;14,52;40,1;12;12;4;0;0;13,11539;0;0;1;0;0;0;1;0;0;1975;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
53;56;56;52;50;41;55;69;214;230;17,90385;30;48,1;12;12;3;1;0;22,73077;1;0;1;0;1;0;1;0;0;3494;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
