ASVAB01;ASVAB02;ASVAB03;ASVAB04;ASVAB05;ASVAB06;ASVABC;HEIGHT;WEIGHT85;WEIGHT02;W_EXP;EARNINGS;HOURS;SM;SF;SIBLINGS;LIBRARY;POV78;TENURE;COLLBARG;CATGOV;CATPRI;CATSE;URBAN;REGNE;REGNC;REGW;REGS;idd;FEMALE;MALE;ETHBLACK;ETHHISP;ETHWHITE;AGE;S;EDUCPROF;EDUCPHD;EDUCMAST;EDUCBA;EDUCAA;EDUCHSD;EDUCDO;SINGLE;MARRIED;DIVORCED;FAITHN;FAITHP;FAITHC;FAITHJ;FAITHO
25;34;31;22;26;34;30,25;70;145;204;17,65769;9,1;40,1;9;10;3;1;0;16,73077;0;1;0;0;0;0;1;0;0;3640;0;1;0;0;1;37;12;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
56;43;48;47;52;59;45,25;71;136;178;21,42308;10;35;16;13;2;1;;14,01923;0;0;1;0;1;1;0;0;0;277;0;1;0;0;1;42;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
53;49;49;51;38;42;49,5;70;169;196;23,27308;20,6;48;11;8;3;0;0;15,01923;0;0;1;0;1;0;0;1;0;5167;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
57;37;43;39;34;30;39;70;166;182;21,02308;9,97;40;12;12;10;0;0;3,942308;1;0;1;0;1;0;1;0;0;2578;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
57;51;59;53;41;45;53,5;70;175;222;22,30385;12,4;;11;9;4;1;0;4,673077;0;0;1;0;1;0;0;0;1;2998;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
39;39;41;30;40;40;37,25;75;166;175;15,67692;12,4;50,1;12;8;2;0;0;14,07692;0;0;1;0;0;1;0;0;0;3055;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
53;38;41;35;29;38;38;74;171;210;15,94231;15;40;12;7;3;1;0;7,076923;0;0;1;0;1;0;0;1;0;5211;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
55;49;55;51;46;34;51;74;241;271;15,35;13,71;53,9;12;16;1;1;;7,211538;0;0;1;0;1;0;1;0;0;5344;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
53;48;57;61;54;47;53,5;63;141;155;13,90769;14,32;40;12;12;4;0;0;13,11539;0;0;1;0;0;0;1;0;0;1975;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
52;56;56;52;49;41;55;69;216;230;17,90385;30;48,1;12;12;3;1;0;22,73077;1;0;1;0;1;0;1;0;0;3494;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
54;62;57;45;61;41;56,5;72;195;189;15,09615;;16,1;14;12;1;1;0;8,153846;0;0;1;0;1;1;0;0;0;4698;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
39;45;29;37;38;44;39;73;149;184;20,94615;20,79;47;13;8;2;1;0;10,73077;0;0;1;0;1;0;0;0;1;2419;0;1;0;0;1;39;10;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
64;59;61;58;58;52;59,25;73;151;151;18,32308;19,55;40,1;12;9;3;0;0;8,403846;0;0;1;0;0;0;1;0;0;3616;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;46;60;54;41;44;51,5;72;169;211;21,94615;19,23;40;12;16;1;1;0;7,346154;1;1;0;0;1;1;0;0;0;417;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
63;62;56;60;47;51;;69;134;170;21,46154;86,63;50,1;12;18;0;1;0;6,769231;0;0;1;0;1;1;0;0;0;269;0;1;0;0;1;43;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
45;39;52;57;46;46;46,75;67;209;224;14,25;11,21;44,9;12;12;1;1;0;1,076923;0;0;1;0;1;0;0;0;1;12044;0;1;0;0;1;40;18;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
38;40;42;47;43;44;42,25;63;154;220;20,83077;23,07;40,1;11;11;3;1;0;12,30769;1;1;0;0;1;0;0;0;1;3932;0;1;1;0;0;40;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
43;45;37;45;50;51;43;65;156;170;15,51539;13,08;40;2;0;6;1;1;8,115385;1;0;1;0;0;0;0;1;0;1837;0;1;0;1;0;45;13;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
59;51;55;55;57;32;53;;196;209;23,26923;27,77;45,1;12;16;0;1;0;2;0;0;1;0;0;0;0;0;1;1107;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
64;64;62;50;61;71;60;70;169;169;22,86539;38,14;46,1;16;17;0;1;0;20,73077;0;0;1;0;1;0;0;0;1;5017;0;1;0;0;1;42;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
52;39;50;60;43;44;47;74;196;239;20,92308;18,47;45,1;12;12;3;1;1;5,480769;0;0;1;0;2;0;1;0;0;3751;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
65;67;55;60;63;71;62,25;76;230;235;19,98077;16,76;45;16;17;2;1;0;3,692308;0;1;0;0;1;0;0;0;1;5651;0;1;0;0;1;44;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
65;53;52;44;45;44;50,5;72;149;189;20,85;43,65;39,9;12;14;2;1;0;19,03846;1;0;1;0;1;0;1;0;0;4707;0;1;0;0;1;37;12;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
51;46;48;49;50;45;47,25;68;154;176;22,54231;35,61;35;11;11;8;1;0;7,057693;1;1;0;0;1;1;0;0;0;847;0;1;1;0;0;43;16;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
55;53;50;48;41;41;51;75;294;400;22,73461;11,22;45,1;10;11;1;0;0;2,134615;0;0;1;0;1;0;0;0;1;2191;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
52;51;51;49;56;50;50,5;67;155;174;20,68846;40,96;40,1;5;6;8;1;1;0,9423077;0;0;1;0;1;0;0;0;1;2703;0;1;0;1;0;42;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
55;54;57;52;55;52;54,25;68;170;181;23,52308;;40;11;12;3;0;0;7,192307;1;0;1;0;1;0;1;0;0;3777;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
53;53;55;49;59;47;52,5;70;141;141;21,46154;11,9;50;14;14;1;1;0;6,480769;0;0;1;0;1;0;0;1;0;5187;0;1;0;0;1;41;13;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
63;58;58;49;54;63;55,75;71;224;260;23,30769;19,46;40;12;12;6;1;0;14,76923;0;0;1;0;1;0;0;0;1;4278;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
40;60;41;48;56;51;52,25;74;165;211;17,90385;21;40,1;12;16;5;1;0;4,961538;1;0;1;0;1;0;1;0;0;659;0;1;0;0;1;43;14;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;63;57;60;52;50;;71;170;176;14,32692;30,86;59,9;13;18;4;1;0;14,26923;0;0;1;0;2;0;1;0;0;4829;0;1;0;0;1;39;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
49;61;53;58;59;48;58,25;70;164;184;23,08077;26,72;37,9;12;12;6;0;0;21,03846;1;0;1;0;1;0;1;0;0;3591;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
45;46;42;35;42;48;42,25;65;159;200;19,15769;25;40,1;10;6;4;0;0;0,1346154;0;0;1;0;0;0;0;0;1;1471;0;1;0;0;1;44;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
45;57;44;46;50;50;51;72;145;190;19,11154;13,85;39,9;12;10;3;1;0;13,63461;1;0;1;0;1;0;1;0;0;4770;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
62;54;53;56;62;55;54,25;69;150;184;19,30769;17,7;40;10;12;5;1;0;13,34615;0;0;1;0;0;0;1;0;0;2475;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;53;61;59;61;57;56,5;73;169;181;18,06154;47;45;16;18;1;0;0;3,326923;0;0;1;0;1;0;0;1;0;2010;0;1;0;0;1;44;19;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
57;53;58;60;54;38;56;75;171;175;20,41923;10,37;40;11;14;0;1;1;8,365385;0;0;1;0;1;0;1;0;0;4879;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;63;62;55;43;44;60,75;72;201;251;18,69231;18,95;;12;12;1;1;0;15,13461;1;0;1;0;1;0;0;0;1;4064;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
56;63;60;62;51;56;62;67;150;180;14,11154;23,07;60;16;17;4;1;0;13,73077;1;1;0;0;1;0;1;0;0;874;0;1;0;0;1;38;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
61;58;56;52;47;51;56;69;201;299;20,28461;14,1;39,9;10;10;3;1;0;3,942308;0;0;1;0;1;0;0;0;1;3493;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
48;55;50;50;48;50;52,5;67;148;171;12,55385;24,13;19,9;8;4;3;1;0;3,230769;0;0;1;0;1;0;0;1;0;1851;0;1;0;1;0;43;14;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
66;67;62;58;62;45;63,5;68;155;149;10,94231;25,98;37;17;20;3;1;0;5,269231;1;1;0;0;1;0;0;0;1;2845;0;1;0;0;1;39;20;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
65;54;59;52;50;52;54,75;72;201;250;18,35;29,6;40;12;16;2;1;0;6,134615;1;0;1;0;1;0;0;1;0;4468;0;1;0;0;1;43;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
69;67;61;60;44;46;63,75;70;225;231;8,85;15,4;40,1;12;8;2;1;0;4,711538;1;1;0;0;1;0;1;0;0;4799;0;1;0;0;1;40;18;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
67;65;59;63;61;63;63;69;138;144;15,82308;3,46;60;16;20;2;1;;11,09615;1;0;1;0;1;0;1;0;0;3172;0;1;0;0;1;43;20;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
